Country	Freedom in the World 2020	2020 Index of Economic Freedom	2020 Press Freedom Index	2019 Democracy Index
 Afghanistan 	not free 	mostly unfree 	difficult situation 	authoritarian regime
 Albania 	partly free 	moderately free 	noticeable problems 	hybrid regime
 Algeria 	not free 	repressed 	difficult situation 	hybrid regime
 Andorra 	free 	NA 	satisfactory situation 	NA
 Angola 	not free 	mostly unfree 	noticeable problems 	authoritarian regime
 Antigua and Barbuda 	free 	NA 	satisfactory situation 	NA
 Argentina 	free 	mostly unfree 	noticeable problems 	flawed democracy
 Armenia 	partly free 	mostly free 	noticeable problems 	hybrid regime
 Australia 	free 	free 	satisfactory situation 	full democracy
 Austria 	free 	mostly free 	satisfactory situation 	full democracy
 Azerbaijan 	not free 	moderately free 	very serious situation 	authoritarian regime
 Bahamas 	free 	moderately free 	NA 	NA
 Bahrain 	not free 	moderately free 	very serious situation 	authoritarian regime
 Bangladesh 	partly free 	mostly unfree 	difficult situation 	hybrid regime
 Barbados 	free 	moderately free 	NA 	NA
 Belarus 	not free 	moderately free 	difficult situation 	authoritarian regime
 Belgium 	free 	moderately free 	good situation 	flawed democracy
 Belize 	free 	mostly unfree 	noticeable problems 	NA
 Benin 	partly free 	mostly unfree 	difficult situation 	hybrid regime
 Bhutan 	partly free 	moderately free 	noticeable problems 	hybrid regime
 Bolivia 	partly free 	repressed 	difficult situation 	hybrid regime
 Bosnia and Herzegovina 	partly free 	moderately free 	noticeable problems 	hybrid regime
 Botswana 	free 	moderately free 	satisfactory situation 	flawed democracy
 Brazil 	free 	mostly unfree 	noticeable problems 	flawed democracy
 Brunei 	not free 	moderately free 	difficult situation 	NA
 Bulgaria 	free 	mostly free 	difficult situation 	flawed democracy
 Burkina Faso 	partly free 	mostly unfree 	satisfactory situation 	hybrid regime
 Burma 	not free 	mostly unfree 	difficult situation 	authoritarian regime
 Burundi 	not free 	repressed 	very serious situation 	authoritarian regime
 Cambodia 	not free 	mostly unfree 	difficult situation 	authoritarian regime
 Cameroon 	not free 	mostly unfree 	difficult situation 	authoritarian regime
 Canada 	free 	mostly free 	satisfactory situation 	full democracy
 Cape Verde 	free 	moderately free 	satisfactory situation 	flawed democracy
 Central African Republic 	not free 	mostly unfree 	difficult situation 	authoritarian regime
 Chad 	not free 	mostly unfree 	difficult situation 	authoritarian regime
 Chile 	free 	mostly free 	noticeable problems 	full democracy
 China 	not free 	mostly unfree 	very serious situation 	authoritarian regime
 Colombia 	partly free 	moderately free 	difficult situation 	flawed democracy
 Comoros 	partly free 	mostly unfree 	noticeable problems 	authoritarian regime
 Costa Rica 	free 	moderately free 	good situation 	full democracy
 Congo, Democratic Republic of the 	not free 	repressed 	difficult situation 	authoritarian regime
 Congo, Republic of the 	not free 	repressed 	difficult situation 	authoritarian regime
 Croatia 	free 	moderately free 	noticeable problems 	flawed democracy
 Cuba 	not free 	repressed 	very serious situation 	authoritarian regime
 Cyprus 	free 	mostly free 	satisfactory situation 	flawed democracy
 Czech Republic 	free 	mostly free 	satisfactory situation 	flawed democracy
 Denmark 	free 	mostly free 	good situation 	full democracy
 Djibouti 	not free 	mostly unfree 	very serious situation 	authoritarian regime
 Dominica 	free 	moderately free 	satisfactory situation 	NA
 Dominican Republic 	partly free 	moderately free 	noticeable problems 	flawed democracy
 East Timor 	free 	repressed 	noticeable problems 	flawed democracy
 Ecuador 	partly free 	mostly unfree 	noticeable problems 	flawed democracy
 Egypt 	not free 	mostly unfree 	very serious situation 	authoritarian regime
 El Salvador 	partly free 	moderately free 	noticeable problems 	flawed democracy
 Equatorial Guinea 	not free 	repressed 	very serious situation 	authoritarian regime
 Eritrea 	not free 	repressed 	very serious situation 	authoritarian regime
 Estonia 	free 	mostly free 	good situation 	flawed democracy
 Eswatini 	not free 	mostly unfree 	difficult situation 	authoritarian regime
 Ethiopia 	not free 	mostly unfree 	noticeable problems 	authoritarian regime
 Fiji 	partly free 	moderately free 	noticeable problems 	hybrid regime
 Finland 	free 	mostly free 	good situation 	full democracy
 France 	free 	moderately free 	satisfactory situation 	full democracy
 Gabon 	not free 	mostly unfree 	difficult situation 	authoritarian regime
 Gambia 	partly free 	mostly unfree 	noticeable problems 	hybrid regime
 Gaza Strip 	not free 	NA 	difficult situation 	NA
 Georgia 	partly free 	mostly free 	noticeable problems 	hybrid regime
 Germany 	free 	mostly free 	good situation 	full democracy
 Ghana 	free 	mostly unfree 	satisfactory situation 	flawed democracy
 Greece 	free 	mostly unfree 	noticeable problems 	flawed democracy
 Grenada 	free 	NA 	satisfactory situation 	NA
 Guatemala 	partly free 	moderately free 	difficult situation 	hybrid regime
 Guinea 	partly free 	mostly unfree 	noticeable problems 	authoritarian regime
 Guinea-Bissau 	partly free 	mostly unfree 	noticeable problems 	authoritarian regime
 Guyana 	free 	mostly unfree 	noticeable problems 	flawed democracy
 Haiti 	partly free 	mostly unfree 	noticeable problems 	hybrid regime
 Honduras 	partly free 	moderately free 	difficult situation 	hybrid regime
 Hong Kong 	partly free 	free 	noticeable problems 	flawed democracy
 Hungary 	partly free 	moderately free 	noticeable problems 	flawed democracy
 Iceland 	free 	mostly free 	satisfactory situation 	full democracy
 India 	free 	mostly unfree 	difficult situation 	flawed democracy
 Indonesia 	partly free 	moderately free 	difficult situation 	flawed democracy
 Iran 	not free 	repressed 	very serious situation 	authoritarian regime
 Iraq 	not free 	NA 	very serious situation 	authoritarian regime
 Ireland 	free 	free 	good situation 	full democracy
 Israel 	free 	mostly free 	noticeable problems 	flawed democracy
 Italy 	free 	moderately free 	satisfactory situation 	flawed democracy
 Ivory Coast 	partly free 	mostly unfree 	noticeable problems 	hybrid regime
 Jamaica 	free 	moderately free 	good situation 	flawed democracy
 Japan 	free 	mostly free 	noticeable problems 	flawed democracy
 Jordan 	partly free 	moderately free 	difficult situation 	authoritarian regime
 Kazakhstan 	not free 	moderately free 	difficult situation 	authoritarian regime
 Kenya 	partly free 	mostly unfree 	noticeable problems 	hybrid regime
 Kiribati 	free 	repressed 	NA 	NA
 Korea, North 	not free 	repressed 	very serious situation 	authoritarian regime
 Korea, South 	free 	mostly free 	satisfactory situation 	flawed democracy
 Kosovo 	partly free 	moderately free 	noticeable problems 	NA
 Kuwait 	partly free 	moderately free 	noticeable problems 	authoritarian regime
 Kyrgyzstan 	partly free 	moderately free 	noticeable problems 	hybrid regime
 Laos 	not free 	mostly unfree 	very serious situation 	authoritarian regime
 Latvia 	free 	mostly free 	satisfactory situation 	flawed democracy
 Lebanon 	partly free 	mostly unfree 	noticeable problems 	hybrid regime
 Lesotho 	partly free 	mostly unfree 	noticeable problems 	flawed democracy
 Liberia 	partly free 	repressed 	noticeable problems 	hybrid regime
 Libya 	not free 	NA 	very serious situation 	authoritarian regime
 Liechtenstein 	free 	NA 	satisfactory situation 	NA
 Lithuania 	free 	mostly free 	satisfactory situation 	flawed democracy
 Luxembourg 	free 	mostly free 	satisfactory situation 	full democracy
 Macau 	NA 	mostly free 	NA 	NA
 Macedonia 	partly free 	moderately free 	noticeable problems 	hybrid regime
 Madagascar 	partly free 	moderately free 	noticeable problems 	hybrid regime
 Malawi 	partly free 	mostly unfree 	noticeable problems 	hybrid regime
 Malaysia 	partly free 	mostly free 	noticeable problems 	flawed democracy
 Maldives 	partly free 	mostly unfree 	noticeable problems 	NA
 Mali 	partly free 	mostly unfree 	noticeable problems 	hybrid regime
 Malta 	free 	moderately free 	noticeable problems 	flawed democracy
 Marshall Islands 	free 	NA 	NA 	NA
 Mauritania 	partly free 	mostly unfree 	noticeable problems 	authoritarian regime
 Mauritius 	free 	mostly free 	noticeable problems 	full democracy
 Mexico 	partly free 	moderately free 	difficult situation 	flawed democracy
 Micronesia, Federated States of 	free 	mostly unfree 	NA 	NA
 Moldova 	partly free 	moderately free 	noticeable problems 	hybrid regime
 Monaco 	free 	NA 	NA 	NA
 Mongolia 	free 	mostly unfree 	noticeable problems 	flawed democracy
 Montenegro 	partly free 	moderately free 	noticeable problems 	hybrid regime
 Morocco 	partly free 	moderately free 	difficult situation 	hybrid regime
 Mozambique 	partly free 	mostly unfree 	noticeable problems 	authoritarian regime
 Nagorno-Karabakh 	partly free 	NA 	NA 	NA
 Namibia 	free 	moderately free 	satisfactory situation 	flawed democracy
 Nauru 	free 	NA 	NA 	NA
   Nepal 	partly free 	mostly unfree 	difficult situation 	hybrid regime
 Netherlands 	free 	mostly free 	good situation 	full democracy
 New Zealand 	free 	free 	good situation 	full democracy
 Nicaragua 	not free 	mostly unfree 	difficult situation 	authoritarian regime
 Niger 	partly free 	mostly unfree 	noticeable problems 	authoritarian regime
 Nigeria 	partly free 	mostly unfree 	difficult situation 	hybrid regime
 Northern Cyprus 	free 	NA 	noticeable problems 	NA
 Norway 	free 	mostly free 	good situation 	full democracy
 Oman 	not free 	moderately free 	difficult situation 	authoritarian regime
 Pakistan 	partly free 	mostly unfree 	difficult situation 	hybrid regime
 Palau 	free 	NA 	NA 	NA
 Palestine 	not free 	NA 	difficult situation 	authoritarian regime
 Panama 	free 	moderately free 	noticeable problems 	flawed democracy
 Papua New Guinea 	partly free 	mostly unfree 	satisfactory situation 	flawed democracy
 Paraguay 	partly free 	moderately free 	noticeable problems 	flawed democracy
 Peru 	free 	moderately free 	noticeable problems 	flawed democracy
 Philippines 	partly free 	moderately free 	difficult situation 	flawed democracy
 Poland 	free 	moderately free 	noticeable problems 	flawed democracy
 Portugal 	free 	moderately free 	good situation 	full democracy
 Qatar 	not free 	mostly free 	difficult situation 	authoritarian regime
 Romania 	free 	moderately free 	noticeable problems 	flawed democracy
 Russia 	not free 	moderately free 	difficult situation 	authoritarian regime
 Rwanda 	not free 	mostly free 	difficult situation 	authoritarian regime
 Saint Kitts and Nevis 	free 	NA 	satisfactory situation 	NA
 Saint Lucia 	free 	moderately free 	satisfactory situation 	NA
 Saint Vincent and the Grenadines 	free 	moderately free 	satisfactory situation 	NA
 Samoa 	free 	moderately free 	satisfactory situation 	NA
 San Marino 	free 	NA 	NA 	NA
 São Tomé and Príncipe 	free 	mostly unfree 	NA 	NA
