Rank	Country	Area(km2)	Area(mi2)	Population	Density(/km2)	Density(/mi2)	Date	Source
1 	 Monaco 	2.02 	0.78 	38,300 	18,960 	49,106 	December 31, 2018 	Official estimate
2 	 Singapore 	722.5 	279 	5,703,600 	7,894 	20,445 	July 1, 2019 	Official estimate
– 	 Hong Kong (China) 	1,106 	427 	7,500,700 	6,782 	17,565 	December 31, 2019 	Official estimate
– 	 Gibraltar (United Kingdom) 	6.8 	2.6 	33,701 	4,956 	12,836 	July 1, 2019 	UN projection
3 	 Bahrain 	778 	300 	1,543,300 	1,983 	5,136 	July 1, 2019 	Official annual projection
4 	 Malta 	315 	122 	493,559 	1,510 	3,911 	July 10, 2019 	Official Estimate
5 	 Maldives 	298 	115 	374,775 	1,258 	3,258 	December 31, 2018 	Official estimate
6 	 Bangladesh 	143,998 	55,598 	168,563,204 	1,171 	3,032 	May 6, 2020 	Official population clock
7 	  Vatican City[note 1] 	0.49 	0.19 	453 	924 	2,393 	February 1, 2019 	Official estimate
8 	 Lebanon 	10,452 	4,036 	6,855,713 	672 	1,740 	July 1, 2019 	UN projection
9 	 Barbados 	430 	166 	287,025 	668 	1,730 	July 1, 2019 	UN projection
– 	 Taiwan 	36,197 	13,976 	23,604,265 	652 	1,689 	January 31, 2020 	Monthly official estimate
10 	 Mauritius 	2,040 	788 	1,265,577 	620 	1,606 	July 1, 2018 	Official estimate
11 	 San Marino 	61 	24 	34,641 	568 	1,471 	April 30, 2019 	Official monthly estimate
12 	 Nauru 	21 	8 	11,200 	533 	1,380 	July 1, 2020 	Annual projection
13 	 South Korea 	100,210 	38,691 	51,780,579 	517 	1,339 	July 1, 2020 	Official annual projection
14 	 Rwanda 	26,338 	10,169 	12,374,397 	470 	1,217 	July 1, 2019 	Official projection
15 	 Comoros 	1,861 	719 	873,724 	469 	1,215 	July 1, 2019 	Official projection
– 	Saint Barthélemy (France) 	21 	8 	9,427 	449 	1,163 	January 1, 2014 	Official estimate
16 	 Netherlands 	41,526 	16,033 	17,462,931 	421 	1,089 	May 6, 2020 	Official population clock
17 	 Israel 	22,072 	8,522 	9,192,580 	416 	1,079 	May 6, 2020 	Official population clock
18 	 Haiti 	27,065 	10,450 	11,263,077 	416 	1,077 	July 1, 2019 	UN projection
19 	 India 	3,287,240 	1,269,211 	1,361,905,814 	414 	1,073 	May 6, 2020 	Population clock
20 	 Burundi 	27,816 	10,740 	11,215,578 	403 	1,044 	July 1, 2020 	Official annual projection
21 	 Tuvalu 	26 	10 	10,300 	396 	1,026 	July 1, 2020 	Annual projection
22 	 Belgium 	30,689 	11,849 	11,524,454 	376 	974 	January 1, 2020 	Official monthly estimate
23 	 Philippines 	300,000 	115,831 	108,589,030 	362 	937 	May 6, 2020 	Official population clock
– 	 Curaçao (Netherlands) 	444 	171 	158,665 	357 	925 	January 1, 2019 	Official Estimate
– 	 Puerto Rico (United States) 	9,104 	3,515 	3,195,153 	351 	909 	July 1, 2018 	Official estimate
– 	Réunion (France) 	2,503.7 	967 	850,996 	340 	881 	January 1, 2016 	Official estimate
24 	 Japan 	377,975 	145,937 	126,010,000 	333 	862 	February 1, 2020 	Monthly official estimate
25 	 Sri Lanka 	65,610 	25,332 	21,803,000 	332 	860 	July 1, 2019 	Official estimate
– 	Martinique (France) 	1,128 	436 	371,246 	329 	852 	January 1, 2018 	Official estimate
– 	 Guam (United States) 	541 	209 	175,200 	324 	839 	July 1, 2019 	Annual projection
26 	 El Salvador 	21,040 	8,124 	6,704,864 	319 	826 	July 1, 2019 	Official annual projection
27 	 Grenada 	344 	133 	108,825 	316 	818 	July 1, 2019 	UN projection
28 	 Marshall Islands 	181 	70 	55,900 	309 	800 	July 1, 2020 	Annual projection
– 	 United States Virgin Islands (United States) 	352 	136 	104,909 	298 	772 	July 1, 2019 	UN projection
29 	 Saint Lucia 	617 	238 	180,454 	292 	756 	July 1, 2019 	UN projection
– 	 American Samoa (United States) 	197 	76 	57,100 	290 	751 	July 1, 2020 	Annual projection
30 	 Vietnam 	331,212 	127,882 	96,208,984 	290 	751 	April 1, 2019 	Official annual projection
31 	 Saint Vincent and the Grenadines 	389 	150 	110,520 	284 	736 	July 1, 2018 	Official estimate
32 	 United Kingdom 	242,910 	93,788 	66,435,600 	274 	710 	July 1, 2018 	Official estimate
33 	 Pakistan 	803,940 	310,403 	220,230,137 	274 	709 	May 6, 2020 	Official population clock
34 	 Trinidad and Tobago 	5,155 	1,990 	1,363,985 	265 	686 	July 1, 2019 	Official annual estimate
– 	Cayman Islands (United Kingdom) 	259 	100 	65,813 	254 	658 	December 31, 2018 	Official estimate
35 	 Kuwait 	17,818 	6,880 	4,420,110 	248 	642 	January 1, 2019 	Official estimate
36 	 Jamaica 	10,991 	4,244 	2,726,667 	248 	642 	December 31, 2018 	Official estimate
– 	Guadeloupe (France) 	1,628.4 	629 	395,725 	243 	629 	January 1, 2016 	Official estimate
37 	 Liechtenstein 	160 	62 	38,380 	240 	622 	December 31, 2018 	Official estimate
