
	
Country 	2013 	2014 	2015 	2016
Australia 	4,186 	4,289 	4,493 	4,708
Austria 	4,861 	5,001 	5,100 	5,227
Belgium 	4,505 	4,656 	4,778 	4,840
Canada 	4,461 	4,502 	4,613 	4,753
Chile 	1,646 	1,737 	1,877 	1,977
Czech Republic 	2,380 	2,476 	2,466 	2,544
Denmark 	4,772 	4,906 	5,058 	5,205
Estonia 	1,652 	1,773 	1,885 	1,989
Finland 	3,920 	3,935 	3,993 	4,033
France 	4,331 	4,464 	4,530 	4,600
Germany 	4,961 	5,200 	5,353 	5,551
Greece 	2,175 	2,099 	2,210 	2,223
Hungary 	1,776 	1,821 	1,913 	2,101
Iceland 	3,707 	3,891 	4,106 	4,376
Ireland 	5,033 	5,082 	5,276 	5,528
Israel 	2,423 	2,595 	2,713 	2,822
Italy 	3,235 	3,271 	3,352 	3,391
Japan 	4,207 	4,269 	4,436 	4,519
Korea 	2,252 	2,396 	2,535 	2,729
Latvia 	1,224 	1,311 	1,434 	1,466
Luxembourg 	6,693 	6,850 	6,818 	7,463
Mexico 	1,038 	1,026 	1,054 	1,080
Netherlands 	5,303 	5,322 	5,297 	5,385
New Zealand 	3,402 	3,496 	3,545 	3,590
Norway 	5,979 	6,136 	6,190 	6,647
Poland 	1,576 	1,606 	1,704 	1,798
Portugal 	2,536 	2,599 	2,664 	2,734
Slovak Republic 	2,100 	2,009 	2,059 	2,150
Slovenia 	2,586 	2,647 	2,731 	2,835
Spain 	2,941 	3,057 	3,180 	3,248
Sweden 	5,070 	5,170 	5,266 	5,488
Switzerland 	6,794 	7,096 	7,536 	7,919
Turkey 	978 	1,003 	997 	1,088
United Kingdom 	3,845 	3,989 	4,125 	4,192
United States 	8,616 	9,036 	9,507 	9,892 
